2016-08-02 08:25:32 status half-installed base-passwd:amd64 3.5.33
2016-08-02 08:25:32 status half-installed base-passwd:amd64 3.5.33
2016-08-02 08:25:32 status unpacked base-passwd:amd64 3.5.33
2016-08-02 08:25:32 status unpacked base-passwd:amd64 3.5.33
2016-08-02 08:25:32 install bash:amd64 <none> 4.3-6ubuntu1
2016-08-02 08:25:32 status half-installed bash:amd64 4.3-6ubuntu1
2016-08-02 08:25:32 status unpacked bash:amd64 4.3-6ubuntu1
2016-08-02 08:25:32 status unpacked bash:amd64 4.3-6ubuntu1
2016-08-02 08:25:32 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu20
2016-08-02 08:25:32 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu20
2016-08-02 08:25:32 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2016-08-02 08:25:32 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2016-08-02 08:25:32 install busybox-initramfs:amd64 <none> 1:1.21.0-1ubuntu1
2016-08-02 08:25:32 status half-installed busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2016-08-02 08:25:32 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2016-08-02 08:25:32 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2016-08-02 08:25:32 install coreutils:amd64 <none> 8.21-1ubuntu5
2016-08-02 08:25:32 status half-installed coreutils:amd64 8.21-1ubuntu5
2016-08-02 08:25:32 status unpacked coreutils:amd64 8.21-1ubuntu5
2016-08-02 08:25:32 status unpacked coreutils:amd64 8.21-1ubuntu5
2016-08-02 08:25:32 install cpio:amd64 <none> 2.11+dfsg-1ubuntu1
2016-08-02 08:25:32 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1
2016-08-02 08:25:32 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2016-08-02 08:25:32 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2016-08-02 08:25:32 install dash:amd64 <none> 0.5.7-4ubuntu1
2016-08-02 08:25:32 status half-installed dash:amd64 0.5.7-4ubuntu1
2016-08-02 08:25:32 status unpacked dash:amd64 0.5.7-4ubuntu1
2016-08-02 08:25:32 status unpacked dash:amd64 0.5.7-4ubuntu1
2016-08-02 08:25:32 install debconf:all <none> 1.5.51ubuntu2
2016-08-02 08:25:32 status half-installed debconf:all 1.5.51ubuntu2
2016-08-02 08:25:32 status unpacked debconf:all 1.5.51ubuntu2
2016-08-02 08:25:32 status unpacked debconf:all 1.5.51ubuntu2
2016-08-02 08:25:32 install debianutils:amd64 <none> 4.4
2016-08-02 08:25:32 status half-installed debianutils:amd64 4.4
2016-08-02 08:25:32 status unpacked debianutils:amd64 4.4
2016-08-02 08:25:32 status unpacked debianutils:amd64 4.4
2016-08-02 08:25:32 install diffutils:amd64 <none> 1:3.3-1
2016-08-02 08:25:32 status half-installed diffutils:amd64 1:3.3-1
2016-08-02 08:25:32 status unpacked diffutils:amd64 1:3.3-1
2016-08-02 08:25:32 status unpacked diffutils:amd64 1:3.3-1
2016-08-02 08:25:32 upgrade dpkg:amd64 1.17.5ubuntu5 1.17.5ubuntu5
2016-08-02 08:25:32 status half-configured dpkg:amd64 1.17.5ubuntu5
2016-08-02 08:25:32 status unpacked dpkg:amd64 1.17.5ubuntu5
2016-08-02 08:25:32 status half-installed dpkg:amd64 1.17.5ubuntu5
2016-08-02 08:25:33 status half-installed dpkg:amd64 1.17.5ubuntu5
2016-08-02 08:25:33 status unpacked dpkg:amd64 1.17.5ubuntu5
2016-08-02 08:25:33 status unpacked dpkg:amd64 1.17.5ubuntu5
2016-08-02 08:25:33 install e2fslibs:amd64 <none> 1.42.9-3ubuntu1
2016-08-02 08:25:33 status half-installed e2fslibs:amd64 1.42.9-3ubuntu1
2016-08-02 08:25:33 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2016-08-02 08:25:33 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2016-08-02 08:25:33 install e2fsprogs:amd64 <none> 1.42.9-3ubuntu1
2016-08-02 08:25:33 status half-installed e2fsprogs:amd64 1.42.9-3ubuntu1
2016-08-02 08:25:33 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2016-08-02 08:25:33 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2016-08-02 08:25:33 install findutils:amd64 <none> 4.4.2-7
2016-08-02 08:25:33 status half-installed findutils:amd64 4.4.2-7
2016-08-02 08:25:33 status unpacked findutils:amd64 4.4.2-7
2016-08-02 08:25:33 status unpacked findutils:amd64 4.4.2-7
2016-08-02 08:25:33 install gcc-4.9-base:amd64 <none> 4.9-20140406-0ubuntu1
2016-08-02 08:25:33 status half-installed gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2016-08-02 08:25:33 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2016-08-02 08:25:33 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2016-08-02 08:25:33 install grep:amd64 <none> 2.16-1
2016-08-02 08:25:33 status half-installed grep:amd64 2.16-1
2016-08-02 08:25:33 status unpacked grep:amd64 2.16-1
2016-08-02 08:25:33 status unpacked grep:amd64 2.16-1
2016-08-02 08:25:33 install gzip:amd64 <none> 1.6-3ubuntu1
2016-08-02 08:25:33 status half-installed gzip:amd64 1.6-3ubuntu1
2016-08-02 08:25:33 status unpacked gzip:amd64 1.6-3ubuntu1
2016-08-02 08:25:33 status unpacked gzip:amd64 1.6-3ubuntu1
2016-08-02 08:25:33 install hostname:amd64 <none> 3.15ubuntu1
